"Acute Lymphoblastic Leukemia: Survival, Treatments, and More",http://www.webmd.com/cancer/acute-lymphoblastic-leukemia,"[True, '<p>\n<a class=""Article"" href=""http://www.webmd.com/cancer/lymphoma/acute-lymphoblastic-leukemia"" onclick=""retur']","['http://www.webmd.com/pill-identification/default.htm', 'http://www.webmd.com/cancer/lymphoma/acute-lymphoblastic-leukemia', 'http://www.webmd.com/heart/anatomy-picture-of-blood', 'http://www.webmd.com/cancer/default.htm', 'http://www.webmd.com/cancer/understanding-leukemia-basics', 'http://www.webmd.com/cancer/lymphoma/acute-lymphoblastic-leukemia', 'http://www.webmd.com/heart/anatomy-picture-of-blood', 'http://www.webmd.com/cancer/default.htm', 'http://www.webmd.com/cancer/understanding-leukemia-basics', 'http://www.webmd.com/a-to-z-guides/rm-quiz-blood-basics', 'http://www.webmd.com/digestive-disorders/picture-of-the-liver', 'http://www.webmd.com/digestive-disorders/picture-of-the-spleen', 'http://www.webmd.com/cancer/rm-quiz-cancer-myths-facts', 'http://www.webmd.com/www/policies/additional-info?ss=ftr']"
"Acute Myeloid Leukemia: Symptoms, Survival, Treatments, and More",http://www.webmd.com/cancer/acute-myeloid-leukemia-symptoms-treatments,"[True, '<p>\n<a class=""Article"" href=""http://www.webmd.com/cancer/lymphoma/acute-myeloid-leukemia-symptoms-treatments"" ']","['http://www.webmd.com/pill-identification/default.htm', 'http://www.webmd.com/cancer/lymphoma/acute-myeloid-leukemia-symptoms-treatments', 'http://www.webmd.com/a-to-z-guides/rm-quiz-blood-basics', 'http://www.webmd.com/cancer/default.htm', 'http://www.webmd.com/heart/anatomy-picture-of-blood', 'http://www.webmd.com/cancer/lymphoma/acute-myeloid-leukemia-symptoms-treatments', 'http://www.webmd.com/a-to-z-guides/rm-quiz-blood-basics', 'http://www.webmd.com/cancer/default.htm', 'http://www.webmd.com/heart/anatomy-picture-of-blood', 'http://www.webmd.com/cancer/understanding-leukemia-basics', 'http://www.webmd.com/smoking-cessation/ss/slideshow-13-best-quit-smoking-tips-ever', 'http://www.webmd.com/www/policies/additional-info?ss=ftr']"
Alcohol and Drug Problems-Topic Overview,http://www.webmd.com/mental-health/tc/Alcohol-and-Drug-Problems-Topic-Overview,"[True, ' interactions, sexual problems, osteoporosis, and cancer. Alcohol abuse can also\r\n\t\t  lead to violence, accide']","['http://www.webmd.com/pill-identification/default.htm', 'http://www.webmd.com/hw-popup/substance-abuse', 'http://www.webmd.com/sex/tc/high-risk-sexual-behavior-topic-overview', 'http://www.webmd.com/hw-popup/illegal-drugs', 'http://www.webmd.com/hw-popup/depression', 'http://www.webmd.com/hw-popup/high-blood-pressure-hypertension', 'http://www.webmd.com/mental-health/addiction/tc/alcohol-and-drugs-when-to-get-help-for-an-intoxicated-person-topic-overview', 'http://www.webmd.com/hw-popup/alcohol-dependence', 'http://www.webmd.com/hw-popup/withdrawal-from-alcohol-or-drugs', 'http://www.webmd.com/hw-popup/detoxification', 'http://www.webmd.com/www/policies/additional-info?ss=ftr']"
Complementary and Alternative Medicine (CAM) Overview,http://www.webmd.com/balance/what-is-alternative-medicine,"[True, ' caused by <a class="""" href=""http://www.webmd.com/cancer/default.htm"" onclick=""return sl(this,\'\',\'embd-lnk\');""']","['http://www.webmd.com/pill-identification/default.htm', 'http://www.webmd.com/balance/what-is-alternative-medicine', 'http://www.webmd.com/balance/features/dejunk-your-life', 'http://www.webmd.com/balance/features/dejunk-your-life', 'http://www.webmd.com/diet/obesity/popular-over-the-counter-diet-aids-topic-overview', 'http://www.webmd.com/digestive-disorders/digestive-diseases-nausea-vomiting', 'http://www.webmd.com/balance/what-is-alternative-medicine', 'http://www.webmd.com/balance/features/dejunk-your-life', 'http://www.webmd.com/balance/features/dejunk-your-life', 'http://www.webmd.com/digestive-disorders/digestive-diseases-nausea-vomiting', 'http://www.webmd.com/pain-management/consider-acupuncture', 'http://www.webmd.com/pain-management/ss/slideshow-acupuncture-overview', 'http://www.webmd.com/children/ss/nausea-vomiting-remedies-treatment', 'http://www.webmd.com/cancer/default.htm', 'http://www.webmd.com/cancer/chemotherapy-what-to-expect', 'http://www.webmd.com/pain-management/ss/slideshow-chronic-pain-myths-facts', 'http://www.webmd.com/back-pain/discs-of-the-spine', 'http://www.webmd.com/pain-management/guide/chiropractic-pain-relief', 'http://www.webmd.com/back-pain/ss/slideshow-low-back-pain-overview', 'http://www.webmd.com/back-pain/guide/back-pain-treatment-care', 'http://www.webmd.com/asthma/default.htm', 'http://www.webmd.com/hypertension-high-blood-pressure/default.htm', 'http://www.webmd.com/fibromyalgia/default.htm', 'http://www.webmd.com/arthritis/arthritis-gout', 'http://www.webmd.com/www/policies/additional-info?ss=ftr']"
"Amyloidosis: Symptoms, Treatments, Prognosis, Causes",http://www.webmd.com/a-to-z-guides/amyloidosis-symptoms-causes-treatments,"[True, '>blood</a> <a class="""" href=""http://www.webmd.com/cancer/default.htm"" onclick=""return sl(this,\'\',\'embd-lnk\');""']","['http://www.webmd.com/pill-identification/default.htm', 'http://www.webmd.com/a-to-z-guides/amyloidosis-symptoms-causes-treatments', 'http://www.webmd.com/a-to-z-guides/amyloidosis-symptoms-causes-treatments', 'http://www.webmd.com/heart/anatomy-picture-of-blood', 'http://www.webmd.com/cancer/default.htm', 'http://www.webmd.com/cancer/lymphoma/multiple-myeloma-symptoms-causes-treatment', 'http://www.webmd.com/a-to-z-guides/rm-quiz-kidneys', 'http://www.webmd.com/heart/picture-of-the-heart', 'http://www.webmd.com/digestive-disorders/picture-of-the-liver', 'http://www.webmd.com/digestive-disorders/picture-of-the-intestines', 'http://lupus.webmd.com/default.htm', 'http://www.webmd.com/rheumatoid-arthritis/default.htm', 'http://www.webmd.com/lung/understanding-tuberculosis-basics', 'http://www.webmd.com/ibd-crohns-disease/default.htm', 'http://www.webmd.com/ibd-crohns-disease/crohns-disease/default.htm', 'http://www.webmd.com/ibd-crohns-disease/ulcerative-colitis/default.htm', 'http://www.webmd.com/digestive-disorders/picture-of-the-spleen', 'http://www.webmd.com/urinary-incontinence-oab/picture-of-the-kidneys', 'http://www.webmd.com/hepatitis/rmq-know-your-liver', 'http://www.webmd.com/a-to-z-guides/kidney-dialysis', 'http://www.webmd.com/a-to-z-guides/rm-quiz-blood-basics', 'http://www.webmd.com/skin-problems-and-treatments/picture-of-the-skin', 'http://www.webmd.com/alzheimers/default.htm', 'http://www.webmd.com/brain/picture-of-the-brain', 'http://www.webmd.com/men/video/dirty-truth-handwashing', 'http://www.webmd.com/men/video/dirty-truth-handwashing', 'http://www.webmd.com/video/causes-cures-bad-breath', 'http://www.webmd.com/video/causes-cures-bad-breath', 'http://www.webmd.com/video/dangers-gum-disease', 'http://www.webmd.com/video/dangers-gum-disease', 'http://www.webmd.com/beauty/video/hair-care-shampoo', 'http://www.webmd.com/beauty/video/hair-care-shampoo', 'http://www.webmd.com/oral-health/video/laugh-therapy-1', 'http://www.webmd.com/oral-health/video/laugh-therapy-1', 'http://www.webmd.com/www/policies/additional-info?ss=ftr']"
"Anemia Causes, Types, Symptoms, Diet, and Treatment ",http://www.webmd.com/a-to-z-guides/understanding-anemia-basics,"[True, 'and help correct anemia. In sickle cell anemia, a cancer drug called hydroxyurea can lower the number of painf']","['http://www.webmd.com/pill-identification/default.htm', 'http://www.webmd.com/a-to-z-guides/understanding-anemia-basics', 'http://www.webmd.com/heart/anatomy-picture-of-blood', 'http://www.webmd.com/diabetes/guide/glycated-hemoglobin-test-hba1c', 'http://www.webmd.com/a-to-z-guides/rm-quiz-blood-basics', 'http://www.webmd.com/a-to-z-guides/understanding-anemia-symptoms', 'http://www.webmd.com/a-to-z-guides/weakness-and-fatigue-topic-overview', 'http://www.webmd.com/women/ss/slideshow-anemia-overview', 'http://www.webmd.com/a-to-z-guides/understanding-anemia-basics', 'http://www.webmd.com/a-to-z-guides/understanding-anemia-symptoms', 'http://www.webmd.com/a-to-z-guides/understanding-anemia-treatment', 'http://www.webmd.com/women/tc/normal-menstrual-cycle-topic-overview', 'http://www.webmd.com/baby/default.htm', 'http://www.webmd.com/vitamins-and-supplements/lifestyle-guide-11/supplement-guide-iron', 'http://www.webmd.com/a-to-z-guides/understanding-anemia-basics', 'http://www.webmd.com/heart/anatomy-picture-of-blood', 'http://www.webmd.com/diabetes/guide/glycated-hemoglobin-test-hba1c', 'http://www.webmd.com/a-to-z-guides/rm-quiz-blood-basics', 'http://www.webmd.com/a-to-z-guides/understanding-anemia-symptoms', 'http://www.webmd.com/a-to-z-guides/weakness-and-fatigue-topic-overview', 'http://www.webmd.com/women/ss/slideshow-anemia-overview', 'http://www.webmd.com/a-to-z-guides/understanding-anemia-basics', 'http://www.webmd.com/a-to-z-guides/understanding-anemia-symptoms', 'http://www.webmd.com/a-to-z-guides/understanding-anemia-treatment', 'http://www.webmd.com/vitamins-and-supplements/lifestyle-guide-11/supplement-guide-iron', 'http://www.webmd.com/arefa-cassoobhoy', 'http://www.webmd.com/men/video/dirty-truth-handwashing', 'http://www.webmd.com/men/video/dirty-truth-handwashing', 'http://www.webmd.com/video/causes-cures-bad-breath', 'http://www.webmd.com/video/causes-cures-bad-breath', 'http://www.webmd.com/video/dangers-gum-disease', 'http://www.webmd.com/video/dangers-gum-disease', 'http://www.webmd.com/beauty/video/hair-care-shampoo', 'http://www.webmd.com/beauty/video/hair-care-shampoo', 'http://www.webmd.com/oral-health/video/laugh-therapy-1', 'http://www.webmd.com/oral-health/video/laugh-therapy-1', 'http://www.webmd.com/www/policies/additional-info?ss=ftr']"
"Appendicitis Symptoms, Causes, Surgery, and Recovery",http://www.webmd.com/digestive-disorders/digestive-diseases-appendicitis,"[True, 'n body, or <a class="""" href=""http://www.webmd.com/cancer/default.htm"" onclick=""return sl(this,\'\',\'embd-lnk\');""']","['http://www.webmd.com/pill-identification/default.htm', 'http://www.webmd.com/digestive-disorders/digestive-diseases-appendicitis', 'http://www.webmd.com/digestive-disorders/picture-of-the-appendix', 'http://www.webmd.com/digestive-disorders/peritonitis-symptoms-causes-treatments', 'http://www.webmd.com/cold-and-flu/rm-quiz-antibiotics-myths-facts', 'http://www.webmd.com/digestive-disorders/digestive-diseases-appendicitis', 'http://www.webmd.com/digestive-disorders/picture-of-the-appendix', 'http://www.webmd.com/digestive-disorders/peritonitis-symptoms-causes-treatments', 'http://www.webmd.com/cold-and-flu/rm-quiz-antibiotics-myths-facts', 'http://www.webmd.com/a-to-z-guides/abscess', 'http://www.webmd.com/digestive-disorders/picture-of-the-abdomen', 'http://www.webmd.com/cancer/default.htm', 'http://www.webmd.com/digestive-disorders/chronic-constipation-7/laxative-safety', 'http://www.webmd.com/www/policies/additional-info?ss=ftr']"
"Birthmarks Slideshow: Pictures of Port Wine Stains, Moles and Other Common Birthmarks",http://www.webmd.com/skin-problems-and-treatments/slideshow-birthmarks,"[True, 'eloping into melanoma, the deadliest type of skin cancer. All moles should be monitored for changes.</p>, <p>R']","['http://www.webmd.com/pill-identification/default.htm', 'http://children.webmd.com/guide/baby-skin-rashes', 'http://www.webmd.com/parenting/baby/baby-skin-10/birthmarks', 'http://www.webmd.com/skin-problems-and-treatments/tc/birthmarks-topic-overview', 'http://www.webmd.com/skin-problems-and-treatments/tc/skin-changes-topic-overview', 'http://www.webmd.com/skin-problems-and-treatments/guide/moles-freckles-skin-tags', 'http://www.webmd.com/skin-problems-and-treatments/guide/red-birthmarks', 'http://www.webmd.com/skin-beauty/cosmetic-procedures-birthmarks', 'http://www.webmd.com/brain/cavernous-malformation', 'http://answers.webmd.com/answers.aspx?ques=What%20You%20Need%20to%20Know%20About%20Melanoma', 'http://www.webmd.com/www/policies/additional-info?ss=ftr']"
Bladder Cancer-Topic Overview,http://www.webmd.com/cancer/tc/Bladder-Cancer-Topic-Overview,"[True, 'ewsletters</p>, <p>\n<a href=""http://www.webmd.com/cancer/"" onclick=""return sl(this,\'\',\'embd-lnk\');"">Cancer</a>']","['http://www.webmd.com/pill-identification/default.htm', 'http://www.webmd.com/cancer/', 'http://www.webmd.com/urinary-incontinence-oab/picture-of-the-bladder', 'http://www.webmd.com/hw-popup/urinary-tract-7276', 'http://www.webmd.com/women/female-urinary-system', 'http://www.webmd.com/women/female-urinary-system', 'http://www.webmd.com/men/male-urinary-system', 'http://www.webmd.com/men/male-urinary-system', 'http://www.webmd.com/cancer/bladder-cancer/understanding-bladder-cancer-basic-information', 'http://www.webmd.com/cancer/rm-quiz-cancer-myths-facts', 'http://www.webmd.com/urinary-incontinence-oab/oab-13/slideshow-bladder-myths-and-facts', 'http://www.webmd.com/cancer/health-check-cancer-risk/default.htm', 'http://www.webmd.com/smoking-cessation/default.htm', 'http://www.webmd.com/heart/anatomy-picture-of-blood', 'http://www.webmd.com/hw-popup/urinary-tract-infection', 'http://www.webmd.com/cancer/bladder-cancer/ss/slideshow-bladder-cancer-overview', 'http://www.webmd.com/www/policies/additional-info?ss=ftr']"
"Blood Disorder Types, Symptoms, and Treatments",http://www.webmd.com/a-to-z-guides/blood-disorder-types-and-treatment,"[True, '>, <p>\n<p>\n<a class="""" href=""http://www.webmd.com/cancer/lymphoma/blood-disorder-types-and-treatment"" onclick=']","['http://www.webmd.com/pill-identification/default.htm', 'http://www.webmd.com/cancer/lymphoma/blood-disorder-types-and-treatment', 'http://www.webmd.com/heart/anatomy-picture-of-blood', 'http://www.webmd.com/a-to-z-guides/rm-quiz-blood-basics', 'http://www.webmd.com/cancer/tc/ncicdr0000062927-general-information-about-chronic-myeloproliferative-disorders', 'http://www.webmd.com/cancer/tc/ncicdr0000062927-general-information-about-chronic-myeloproliferative-disorders', 'http://www.webmd.com/cancer/lymphoma/blood-disorder-types-and-treatment', 'http://www.webmd.com/cancer/tc/ncicdr0000062927-general-information-about-chronic-myeloproliferative-disorders', 'http://www.webmd.com/cancer/tc/ncicdr0000062927-general-information-about-chronic-myeloproliferative-disorders', 'http://www.webmd.com/a-to-z-guides/understanding-anemia-basics', 'http://www.webmd.com/women/ss/slideshow-anemia-overview', 'http://www.webmd.com/women/guide/why-so-tired-10-causes-fatigue', 'http://www.webmd.com/skin-problems-and-treatments/picture-of-the-skin', 'http://www.webmd.com/women/tc/normal-menstrual-cycle-topic-overview', 'http://www.webmd.com/cancer/default.htm', 'http://www.webmd.com/urinary-incontinence-oab/picture-of-the-kidneys', 'http://www.webmd.com/drugs/2/drug-1023/epoetin+alfa+injection/details', 'http://www.webmd.com/drugs/drug-413-epogen+inj.aspx', 'http://www.webmd.com/drugs/drug-34-procrit+inj.aspx', 'http://www.webmd.com/food-recipes/guide/vitamin-b12-deficiency-symptoms-causes', 'http://www.webmd.com/digestive-disorders/picture-of-the-stomach', 'http://www.webmd.com/brain/nerve-pain-and-nerve-damage-symptoms-and-causes', 'http://www.webmd.com/brain/understanding-peripheral-neuropathy-basics', 'http://www.webmd.com/a-to-z-guides/aplastic-anemia', 'http://www.webmd.com/a-to-z-guides/bacterial-and-viral-infections', 'http://www.webmd.com/drugs/index-drugs.aspx', 'http://www.webmd.com/cancer/lymphoma/bone-marrow-transplants', 'http://www.webmd.com/drugs/2/drug-14590/prednisone+intensol+oral/details', 'http://www.webmd.com/www/policies/additional-info?ss=ftr']"
